Country,Year,Conditions,EF,GDP_pc,Globalisation,GDP,Freedom
Afghanistan,1980,305,0.662,291.649791,20.895212,3641723322,3
Afghanistan,1981,305,0.665,311.853617,21.327068,3478787909,3
Afghanistan,1982,305,0.669,,21.721369,,3
Afghanistan,1983,305,0.673,,22.136993,,3
Afghanistan,1984,305,0.677,,21.892729,,3
Afghanistan,1985,305,0.681,,21.679289,,3
Afghanistan,1986,305,0.685,,22.065659,,3
Afghanistan,1987,305,0.688,,22.30184,,3
Afghanistan,1988,305,0.692,,23.094912,,3
Afghanistan,1989,305,0.695,,23.018608,,3
Afghanistan,1990,305,0.699,,23.030743,,3
Afghanistan,1991,305,0.702,,23.087246,,3
Afghanistan,1992,305,0.706,,22.841188,,3
Afghanistan,1993,305,0.709,,22.709429,,3
Afghanistan,1994,305,0.712,,23.782282,,3
Afghanistan,1995,305,0.715,,23.791718,,3
Afghanistan,1996,305,0.719,,24.205013,,3
Afghanistan,1997,305,0.722,,24.238365,,3
Afghanistan,1998,305,0.725,,24.632742,,3
Afghanistan,1999,305,0.728,,24.579372,,3
Afghanistan,2000,305,0.731,,23.683897,,3
Afghanistan,2001,305,0.734,,23.733812,,3
Afghanistan,2002,305,0.736,183.5327752,24.29211,3854235264,3
Afghanistan,2003,305,0.739,200.4625667,25.300322,4539500884,3
Afghanistan,2004,305,0.742,221.6576042,27.984079,5220823685,3
Afghanistan,2005,305,0.744,255.05512,30.456003,6226199249,2
Afghanistan,2006,305,0.747,274.0004865,30.765755,6971379033,2
Afghanistan,2007,305,0.749,375.0781281,31.5576,9715761650,2
Afghanistan,2008,305,0.752,387.8491743,33.660088,10249767311,3
Afghanistan,2009,305,0.754,443.8451505,33.803825,12154835708,3
Afghanistan,2010,305,0.757,554.5952002,35.449867,15633856787,3
Afghanistan,2011,305,0.759,621.9123109,37.200336,18190410821,3
Afghanistan,2012,305,0.761,663.1410528,37.431263,20203572960,3
Afghanistan,2013,305,0.763,651.9878619,37.386757,20564485419,3
Afghanistan,2014,305,,628.1468039,37.085865,20550582747,3
Albania,1980,747,0.088,,33.114891,,3
Albania,1981,747,0.089,,31.988554,,3
Albania,1982,747,0.09,,30.444111,,3
Albania,1983,747,0.091,,31.81399,,3
Albania,1984,747,0.093,639.4847358,31.956491,1857338012,3
Albania,1985,747,0.094,639.8659094,29.814453,1897050133,3
Albania,1986,747,0.095,693.8734746,31.03627,2097326250,3
Albania,1987,747,0.097,674.7933831,32.597317,2080796250,3
Albania,1988,747,0.098,652.7743214,31.491688,2051236250,3
Albania,1989,747,0.1,697.9955966,32.99921,2253090000,3
Albania,1990,747,0.101,617.2304355,31.236704,2028553750,3
Albania,1991,747,0.102,336.5869945,33.184677,1099559028,2
Albania,1992,747,0.104,200.8522198,41.4729,652174990.8,2
Albania,1993,747,0.105,367.2792251,42.314293,1185315468,2
Albania,1994,747,0.107,586.4163396,41.145565,1880951520,2
Albania,1995,747,0.108,750.6044492,43.585567,2392764853,2
Albania,1996,747,0.11,1009.977275,40.274612,3199641336,2
Albania,1997,747,0.111,717.3800477,42.653553,2258513974,2
Albania,1998,747,0.113,813.7893966,45.404972,2545964541,2
Albania,1999,747,0.114,1033.242532,45.669159,3212121651,2
Albania,2000,747,0.116,1126.68334,48.447304,3480355258,2
Albania,2001,747,0.118,1281.659826,52.159351,3922100794,2
Albania,2002,747,0.119,1425.124219,55.617332,4348068242,2
Albania,2003,747,0.121,1846.120121,54.726875,5611496257,2
Albania,2004,747,0.123,2373.581292,56.336636,7184685782,2
Albania,2005,747,0.124,2673.786584,56.222305,8052073539,2
Albania,2006,747,0.126,2972.742924,59.942013,8896072919,2
Albania,2007,747,0.128,3595.038057,62.596645,10677324144,2
Albania,2008,747,0.13,4370.539925,64.063774,12881353508,2
Albania,2009,747,0.131,4114.134899,66.815491,12044208086,2
Albania,2010,747,0.133,4094.348386,68.100243,11926922829,2
Albania,2011,747,0.135,4437.142612,64.737968,12890764531,2
Albania,2012,747,0.137,4247.630047,62.204288,12319830437,2
Albania,2013,747,0.139,4413.062005,65.039749,12776220507,2
Albania,2014,747,,4578.633208,67.406715,13228147516,2
Algeria,1980,285,0.338,2259.75381,37.650238,42346380831,3
Algeria,1981,285,0.339,2291.760349,38.733345,44348672668,3
Algeria,1982,285,0.339,2260.343586,37.400848,45207088716,3
Algeria,1983,285,0.34,2359.593264,33.552036,48801369800,3
Algeria,1984,285,0.341,2510.024241,33.316277,53698278906,3
Algeria,1985,285,0.342,2617.725449,35.809563,57937868670,3
Algeria,1986,285,0.343,2783.441085,34.471863,63692238160,3
Algeria,1987,285,0.343,2829.903782,34.139305,66746396416,3
Algeria,1988,285,0.344,2437.364324,34.718655,59089067187,3
Algeria,1989,285,0.345,2235.255783,40.040268,55634414465,2
Algeria,1990,285,0.346,2431.553531,40.359188,62048562947,2
Algeria,1991,285,0.347,1749.28372,43.410583,45715614560,2
Algeria,1992,285,0.348,1794.621453,41.401939,48003078389,3
Algeria,1993,285,0.349,1825.875644,41.080338,49945599429,3
Algeria,1994,285,0.35,1522.825246,39.451645,42543178042,3
Algeria,1995,285,0.351,1466.545511,45.057518,41764315330,3
Algeria,1996,285,0.352,1619.533389,45.097736,46941582519,3
Algeria,1997,285,0.353,1634.46741,46.294682,48177612042,3
Algeria,1998,285,0.354,1610.301826,42.0009,48187747529,3
Algeria,1999,285,0.356,1602.864313,44.478302,48640653469,3
Algeria,2000,285,0.357,1780.375874,47.8274,54790392746,3
Algeria,2001,285,0.358,1754.582838,49.379879,54744712815,3
Algeria,2002,285,0.359,1794.811114,48.746136,56760355865,3
Algeria,2003,285,0.36,2117.047545,49.538074,67863828413,3
Algeria,2004,285,0.361,2624.795232,50.724995,85332581189,3
Algeria,2005,285,0.362,3131.328532,53.33976,1.03E+11,3
Algeria,2006,285,0.364,3500.135413,54.116512,1.17E+11,3
Algeria,2007,285,0.365,3971.803488,55.275864,1.35E+11,3
Algeria,2008,285,0.366,4946.564017,55.60701,1.71E+11,3
Algeria,2009,285,0.367,3898.4797,56.470642,1.37E+11,3
Algeria,2010,285,0.368,4495.920448,56.910629,1.61E+11,3
Algeria,2011,285,0.37,5473.28055,56.438793,2.00E+11,3
Algeria,2012,285,0.371,5610.730894,55.604855,2.09E+11,3
Algeria,2013,285,0.372,5519.777576,55.539577,2.10E+11,3
Algeria,2014,285,,5516.230604,55.949516,2.14E+11,3
Angola,1980,105,0.778,711.9411692,30.328859,5930503401,3
Angola,1981,105,0.778,643.0528514,27.715677,5550483036,3
Angola,1982,105,0.778,620.3631095,29.372219,5550483036,3
Angola,1983,105,0.777,623.5339325,30.20649,5784341596,3
Angola,1984,105,0.777,637.5197594,31.380556,6131475065,3
Angola,1985,105,0.777,757.5817453,28.306547,7553560459,3
Angola,1986,105,0.777,684.4435226,29.380945,7072063346,3
Angola,1987,105,0.777,755.9219118,30.029743,8083872012,3
Angola,1988,105,0.777,792.8610862,30.951952,8769250550,3
Angola,1989,105,0.776,891.7435922,31.833403,10201099039,3
Angola,1990,105,0.776,949.2863813,32.930222,11228764963,3
Angola,1991,105,0.776,867.1234347,31.774851,10603784541,2
Angola,1992,105,0.776,657.6533837,33.197582,8307810974,3
Angola,1993,105,0.776,442.445234,33.889172,5768720422,3
Angola,1994,105,0.776,329.6917841,37.110031,4438321017,3
Angola,1995,105,0.776,398.1202225,37.07452,5538749260,3
Angola,1996,105,0.776,523.2749398,38.864944,7526446606,3
Angola,1997,105,0.776,514.3098866,39.953785,7648377413,3
Angola,1998,105,0.776,423.3934528,40.860455,6506229607,3
Angola,1999,105,0.776,387.6894148,41.678139,6152922943,3
Angola,2000,105,0.776,556.8842437,41.829681,9129594819,3
Angola,2001,105,0.777,527.4632018,40.73259,8936063723,3
Angola,2002,105,0.777,872.6577717,38.791004,15285594828,3
Angola,2003,105,0.777,982.8056006,40.038174,17812704825,3
Angola,2004,105,0.777,1254.695563,40.105762,23552047248,3
Angola,2005,105,0.777,1900.724725,41.058254,36970918699,3
Angola,2006,105,0.777,2597.962682,41.678902,52381006892,3
Angola,2007,105,0.778,3121.350475,42.59272,65266452081,3
Angola,2008,105,0.778,4081.715004,42.705364,88538610805,3
Angola,2009,105,0.778,3123.697586,43.576588,70307166934,3
Angola,2010,105,0.778,3496.784796,44.285988,81699526881,3
Angola,2011,105,0.778,4511.153227,44.419212,1.09E+11,3
Angola,2012,105,0.779,4962.552072,44.283096,1.25E+11,3
Angola,2013,105,0.779,5101.983876,43.940025,1.33E+11,3
Angola,2014,105,,5059.080441,43.336929,1.37E+11,3
Antigua and Barbuda,1980,100,,2025.474682,,131431026.7,
Antigua and Barbuda,1981,100,,2271.831926,,147841734.4,
Antigua and Barbuda,1982,100,,2519.803144,43.339993,164369278.9,
Antigua and Barbuda,1983,100,,2784.737233,41.932644,182144093,1
Antigua and Barbuda,1984,100,,3187.981492,42.248791,208372846.3,1
Antigua and Barbuda,1985,100,,3703.786816,40.60041,240923924.8,1
Antigua and Barbuda,1986,100,,4488.196018,43.801735,290440140.7,1
Antigua and Barbuda,1987,100,,5239.458329,45.767117,337174861.9,1
Antigua and Barbuda,1988,100,,6230.466815,45.448185,398637727.8,1
Antigua and Barbuda,1989,100,,6895.386079,45.076233,438794788.5,1
Antigua and Barbuda,1990,100,,7255.406303,46.252426,459470370.4,1
Antigua and Barbuda,1991,100,,7569.969001,46.939922,481707407.4,2
Antigua and Barbuda,1992,100,,7721.763119,47.032135,499281481.5,2
Antigua and Barbuda,1993,100,,8129.144121,46.60709,535174074.1,2
Antigua and Barbuda,1994,100,,8788.013323,46.842346,589429629.6,2
Antigua and Barbuda,1995,100,,8440.034526,52.764664,577281481.5,2
Antigua and Barbuda,1996,100,,9079.481212,47.169445,633729629.6,2
Antigua and Barbuda,1997,100,,9556.832802,46.805496,680618518.5,2
Antigua and Barbuda,1998,100,,10029.47775,47.628841,727859259.3,2
Antigua and Barbuda,1999,100,,10379.1604,47.969368,766200000,2
Antigua and Barbuda,2000,100,,11010.19746,48.607944,826370370.4,2
Antigua and Barbuda,2001,100,,10502.93881,49.716808,800481481.5,2
Antigua and Barbuda,2002,100,,10549.66619,49.749191,814381481.5,2
Antigua and Barbuda,2003,100,,10968.89268,51.49435,856396296.3,2
Antigua and Barbuda,2004,100,,11650.84848,52.109646,919729629.6,1
Antigua and Barbuda,2005,100,,12808.01015,53.11422,1022962963,1
Antigua and Barbuda,2006,100,,14310.68623,54.274895,1157662963,1
Antigua and Barbuda,2007,100,,16006.13611,55.206772,1312759259,1
Antigua and Barbuda,2008,100,,16457.10406,53.971794,1370070370,1
Antigua and Barbuda,2009,100,,14530.59869,54.014992,1228329630,1
Antigua and Barbuda,2010,100,,13404.51602,54.099907,1148700000,1
Antigua and Barbuda,2011,100,,13117.14694,54.304722,1137637037,1
Antigua and Barbuda,2012,100,,13686.47659,54.773109,1199948148,1
Antigua and Barbuda,2013,100,,13350.14914,55.525494,1181448148,1
Antigua and Barbuda,2014,100,,14004.81121,56.081291,1249733333,1
Argentina,1980,604,0.093,2746.207484,49.68232,76961923741,3
Argentina,1981,604,0.094,2763.375182,49.925537,78676842367,3
Argentina,1982,604,0.096,2914.918251,47.718498,84307486837,3
Argentina,1983,604,0.097,3539.456782,48.886116,1.04E+11,2
Argentina,1984,604,0.099,2651.229542,49.865974,79092001998,1
Argentina,1985,604,0.101,2919.283585,50.286636,88416668900,1
Argentina,1986,604,0.102,3607.820561,50.010883,1.11E+11,1
Argentina,1987,604,0.104,3559.218959,49.92387,1.11E+11,1
Argentina,1988,604,0.106,3982.444402,49.832802,1.26E+11,1
Argentina,1989,604,0.108,2382.560951,50.762661,76636898036,1
Argentina,1990,604,0.109,4330.959441,50.70322,1.41E+11,1
Argentina,1991,604,0.111,5730.72381,52.858952,1.90E+11,1
Argentina,1992,604,0.113,6815.61829,54.532478,2.29E+11,1
Argentina,1993,604,0.115,6957.417499,58.422546,2.37E+11,1
Argentina,1994,604,0.117,7464.474737,59.892879,2.57E+11,1
Argentina,1995,604,0.119,7383.70451,61.905582,2.58E+11,1
Argentina,1996,604,0.121,7690.157003,61.86787,2.72E+11,1
Argentina,1997,604,0.123,8176.771195,63.38797,2.93E+11,1
Argentina,1998,604,0.125,8250.673174,64.080208,2.99E+11,1
Argentina,1999,604,0.127,7735.32208,64.924911,2.84E+11,1
Argentina,2000,604,0.129,7666.517834,66.016136,2.84E+11,1
Argentina,2001,604,0.131,7168.975872,65.298531,2.69E+11,2
Argentina,2002,604,0.133,2579.488769,65.414078,97724004252,2
Argentina,2003,604,0.135,3333.152904,66.199203,1.28E+11,1
Argentina,2004,604,0.137,4258.160261,67.076149,1.65E+11,1
Argentina,2005,604,0.139,5086.627761,66.242226,1.99E+11,1
Argentina,2006,604,0.142,5890.978002,66.199463,2.33E+11,1
Argentina,2007,604,0.144,7210.595548,67.64048,2.88E+11,1
Argentina,2008,604,0.146,8977.506851,66.888321,3.62E+11,1
Argentina,2009,604,0.148,8184.389889,68.092987,3.33E+11,1
Argentina,2010,604,0.151,10385.96443,67.569504,4.24E+11,1
Argentina,2011,604,0.153,12848.8642,66.865227,5.30E+11,1
Argentina,2012,604,0.155,13082.66433,65.339561,5.46E+11,1
Argentina,2013,604,0.158,13080.25473,65.917076,5.52E+11,1
Argentina,2014,604,,12334.79825,66.084145,5.26E+11,1
Armenia,1980,929,,,,,
Armenia,1981,929,,,,,
Armenia,1982,929,,,,,
Armenia,1983,929,,,,,
Armenia,1984,929,,,,,
Armenia,1985,929,,,,,
Armenia,1986,929,,,,,
Armenia,1987,929,,,,,
Armenia,1988,929,,,,,
Armenia,1989,929,,,,,
Armenia,1990,929,,634.5604133,,2256838858,2
Armenia,1991,929,0.137,572.1617627,,2069870130,2
Armenia,1992,929,0.13,356.0822126,29.50659,1272835453,2
Armenia,1993,929,0.124,347.4664633,33.436409,1201312829,2
Armenia,1994,929,0.117,389.8252865,36.420303,1315158637,2
Armenia,1995,929,0.112,441.8940018,41.369045,1468317435,2
Armenia,1996,929,0.106,484.091641,44.715664,1596968946,2
Armenia,1997,929,0.1,501.1565152,47.481113,1639492445,2
Armenia,1998,929,0.095,584.3842673,47.581333,1893726437,2
Armenia,1999,929,0.09,575.6284792,49.08683,1845482173,2
Armenia,2000,929,0.085,603.2980252,49.663052,1911563669,2
Armenia,2001,929,0.081,676.1500113,51.347095,2118467913,2
Armenia,2002,929,0.077,765.3161777,51.331028,2376335048,2
Armenia,2003,929,0.073,910.1712617,52.748238,2807061009,2
Armenia,2004,929,0.069,1166.638204,53.987202,3576615240,2
Armenia,2005,929,0.065,1608.163552,55.230526,4900469950,2
Armenia,2006,929,0.062,2109.526231,56.458794,6384451606,2
Armenia,2007,929,0.059,3064.280106,58.159313,9206301700,2
Armenia,2008,929,0.056,3908.94906,58.217823,11662040714,2
Armenia,2009,929,0.054,2917.366129,60.290478,8647936748,2
Armenia,2010,929,0.051,3143.029202,61.618362,9260284938,2
Armenia,2011,929,0.049,3462.681611,62.401119,10142111334,2
Armenia,2012,929,0.047,3643.715183,65.837029,10619320049,2
Armenia,2013,929,0.045,3833.157532,66.069572,11121465767,2
Armenia,2014,929,,4017.229808,66.805237,11609512940,2
Azerbaijan,1980,555,,,,,
Azerbaijan,1981,555,,,,,
Azerbaijan,1982,555,,,,,
Azerbaijan,1983,555,,,,,
Azerbaijan,1984,555,,,,,
Azerbaijan,1985,555,,,,,
Azerbaijan,1986,555,,,,,
Azerbaijan,1987,555,,,,,
Azerbaijan,1988,555,,,,,
Azerbaijan,1989,555,,,,,
Azerbaijan,1990,555,,1234.530889,,8858006036,2
Azerbaijan,1991,555,0.297,1209.187602,,8792365811,3
Azerbaijan,1992,555,0.285,60.45821358,30.344397,446305555.6,3
Azerbaijan,1993,555,0.272,209.4785718,31.432987,1570000000,3
Azerbaijan,1994,555,0.26,157.0860591,31.765001,1193312102,3
Azerbaijan,1995,555,0.248,314.5612263,33.295097,2417355840,2
Azerbaijan,1996,555,0.237,409.1631891,35.406078,3176333837,2
Azerbaijan,1997,555,0.226,505.5003493,37.399094,3962238113,2
Azerbaijan,1998,555,0.215,561.9068079,38.754013,4446368571,2
Azerbaijan,1999,555,0.205,573.9165123,40.365028,4581432039,2
Azerbaijan,2000,555,0.195,655.1199452,42.461258,5272798391,2
Azerbaijan,2001,555,0.186,703.6838434,43.963665,5707720391,3
Azerbaijan,2002,555,0.177,763.080638,47.66309,6235856820,3
Azerbaijan,2003,555,0.168,883.7339715,48.470112,7276753895,3
Azerbaijan,2004,555,0.162,1045.009379,50.548115,8680370408,3
Azerbaijan,2005,555,0.156,1578.40239,51.686066,13245716099,3
Azerbaijan,2006,555,0.151,2473.081819,52.203968,20982986344,3
Azerbaijan,2007,555,0.146,3851.437869,55.56076,33050343783,3
Azerbaijan,2008,555,0.141,5574.603802,56.620972,48852482960,3
Azerbaijan,2009,555,0.137,4950.294791,57.229218,44291490421,3
Azerbaijan,2010,555,0.133,5843.533768,58.181461,52909294792,3
Azerbaijan,2011,555,0.129,7189.691229,58.991707,65951627200,3
Azerbaijan,2012,555,0.125,7496.294648,61.187988,69683935845,3
Azerbaijan,2013,555,0.122,7875.756953,60.939472,74164435946,3
Azerbaijan,2014,555,,7891.313147,61.9506,75244294275,3
Bangladesh,1980,624,0.041,216.109852,24.012634,18138049096,2
Bangladesh,1981,624,0.04,235.0383907,24.148239,20249694002,2
Bangladesh,1982,624,0.04,209.1957418,24.365364,18525399202,2
Bangladesh,1983,624,0.039,193.4093731,24.682917,17609048822,2
Bangladesh,1984,624,0.039,202.2878488,24.645037,18920840000,2
Bangladesh,1985,624,0.038,232.1658218,24.560135,22278423077,2
Bangladesh,1986,624,0.037,221.5696191,25.687988,21774033333,2
Bangladesh,1987,624,0.037,241.7949085,26.588461,24298032258,2
Bangladesh,1988,624,0.036,258.8305367,29.451839,26579005760,2
Bangladesh,1989,624,0.036,274.3894238,29.467709,28781714764,2
Bangladesh,1990,624,0.035,294.9046567,29.366779,31598341233,2
Bangladesh,1991,624,0.035,283.3822853,30.467419,30957483950,1
Bangladesh,1992,624,0.034,284.9669776,31.927128,31708874594,1
Bangladesh,1993,624,0.034,292.4253474,31.630962,33166519418,2
Bangladesh,1994,624,0.033,292.0788195,35.205917,33768660883,2
Bangladesh,1995,624,0.033,322.0873898,36.067986,37939748769,2
Bangladesh,1996,624,0.032,387.3848632,34.825588,46438484108,2
Bangladesh,1997,624,0.032,395.3180524,34.911331,48244309133,2
Bangladesh,1998,624,0.031,401.9651801,35.600529,49984559471,2
Bangladesh,1999,624,0.031,404.4861431,36.421749,51270569884,2
Bangladesh,2000,624,0.031,413.1001853,37.486,53369787319,2
Bangladesh,2001,624,0.03,410.0485409,38.512489,53991289844,2
Bangladesh,2002,624,0.03,407.9629676,39.588554,54724081491,2
Bangladesh,2003,624,0.029,440.7144048,40.355999,60158929188,2
Bangladesh,2004,624,0.029,469.1164584,41.153816,65108544250,2
Bangladesh,2005,624,0.028,492.8086489,42.427597,69442943089,2
Bangladesh,2006,624,0.028,503.5383322,44.419945,71819083684,2
Bangladesh,2007,624,0.028,552.3389345,46.473179,79611888213,2
Bangladesh,2008,624,0.027,630.1089792,47.095924,91631278239,2
Bangladesh,2009,624,0.027,698.5210262,47.107883,1.02E+11,2
Bangladesh,2010,624,0.026,776.8595769,49.588402,1.15E+11,2
Bangladesh,2011,624,0.026,856.3815861,50.571289,1.29E+11,2
Bangladesh,2012,624,0.026,876.8175451,50.573315,1.33E+11,2
Bangladesh,2013,624,0.025,973.7733926,50.77198,1.50E+11,2
Bangladesh,2014,624,,1108.5151,50.918358,1.73E+11,2
Barbados,1980,66,,3992.036338,45.046928,1012280615,1
Barbados,1981,66,,4374.85175,45.598431,1114204743,1
Barbados,1982,66,,4552.944471,44.999771,1163923830,1
Barbados,1983,66,,4818.683873,45.548164,1236016507,1
Barbados,1984,66,,5235.134119,46.668396,1346890071,1
Barbados,1985,66,,5465.203582,45.617378,1409536121,1
Barbados,1986,66,,5990.460128,46.513542,1547755183,1
Barbados,1987,66,,6589.383144,46.147209,1704370308,1
Barbados,1988,66,,7005.502809,46.33514,1812757918,1
Barbados,1989,66,,7753.02566,46.279213,2006165167,1
Barbados,1990,66,,7772.808757,46.100082,2012131457,1
Barbados,1991,66,,7789.391377,46.768551,2020583702,1
Barbados,1992,66,,7520.79074,46.439342,1957000000,1
Barbados,1993,66,,7905.676802,49.580128,2063342117,1
Barbados,1994,66,,8220.27611,50.42519,2151344901,1
Barbados,1995,66,,8451.958599,56.023941,2216974096,1
Barbados,1996,66,,8994.324063,51.827915,2363645403,1
Barbados,1997,66,,9491.475434,51.196938,2498384130,1
Barbados,1998,66,,10685.26061,51.67704,2817083478,1
Barbados,1999,66,,11173.94937,52.184647,2951822205,1
Barbados,2000,66,,11560.2459,52.695347,3059500000,1
Barbados,2001,66,,11510.04043,53.835384,3054500000,1
Barbados,2002,66,,11658.62904,54.471138,3106500000,1
Barbados,2003,66,,11998.17569,55.238735,3209500000,1
Barbados,2004,66,,12828.43895,55.192432,3444500000,1
Barbados,2005,66,,14173.75138,56.791172,3819500000,1
Barbados,2006,66,,15595.63946,56.842018,4217450800,1
Barbados,2007,66,,17219.04868,58.425354,4674007450,1
Barbados,2008,66,,17550.66334,56.648964,4784925100,1
Barbados,2009,66,,16310.46053,57.71682,4465657300,1
Barbados,2010,66,,16489.79582,59.203079,4529928300,1
Barbados,2011,66,,16907.20926,60.607384,4657699450,1
Barbados,2012,66,,16691.33264,60.28212,4610096000,1
Barbados,2013,66,,16893.60627,60.742924,4677248300,1
Barbados,2014,66,,16924.19034,60.690361,4696344350,1
Belarus,1980,117,,,,,
Belarus,1981,117,,,,,
Belarus,1982,117,,,,,
Belarus,1983,117,,,,,
Belarus,1984,117,,,,,
Belarus,1985,117,,,,,
Belarus,1986,117,,,,,
Belarus,1987,117,,,,,
Belarus,1988,117,,,,,
Belarus,1989,117,,,,,
Belarus,1990,117,,2124.767944,,21650000000,
Belarus,1991,117,0.363,1765.735895,,18000000000,
Belarus,1992,117,0.361,1667.605057,33.881687,17037037037,2
Belarus,1993,117,0.358,1590.088117,34.803886,16280991736,2
Belarus,1994,117,0.356,1460.0655,37.062206,14932024169,2
Belarus,1995,117,0.353,1370.699283,40.231773,13972676841,2
Belarus,1996,117,0.35,1452.507105,42.138401,14756846154,3
Belarus,1997,117,0.348,1396.442019,42.073662,14128408566,3
Belarus,1998,117,0.345,1511.325316,42.327152,15222012660,3
Belarus,1999,117,0.343,1210.61172,44.607372,12138486532,3
Belarus,2000,117,0.34,1276.288034,46.460804,12736856828,3
Belarus,2001,117,0.338,1244.373185,47.941807,12354820144,3
Belarus,2002,117,0.335,1479.314583,48.783825,14594249023,3
Belarus,2003,117,0.333,1819.766059,49.81514,17827791321,3
Belarus,2004,117,0.331,2378.623286,49.996647,23144351852,3
Belarus,2005,117,0.328,3125.810535,50.264488,30207567317,3
Belarus,2006,117,0.326,3847.434124,51.864952,36954312354,3
Belarus,2007,117,0.323,4735.657608,54.540585,45277399814,3
Belarus,2008,117,0.321,6377.369732,55.630661,60763483146,3
Belarus,2009,117,0.318,5352.583912,57.286251,50874078052,3
Belarus,2010,117,0.316,6033.686239,59.329197,57222490769,3
Belarus,2011,117,0.313,6527.173869,64.001823,61757788945,3
Belarus,2012,117,0.311,6953.132515,64.777992,65685102555,3
Belarus,2013,117,0.309,7998.125239,65.341698,75527984234,3
Belarus,2014,117,,8341.399679,64.526596,78813839984,3
Belize,1980,24,,1363.840218,,197938222.4,1
Belize,1981,24,,1318.127065,,196089854.7,1
Belize,1982,24,,1195.508972,38.074234,182206327,1
Belize,1983,24,,1231.012451,38.764164,192103186,1
Belize,1984,24,,1342.227691,38.942604,214381949,1
Belize,1985,24,,1301.082642,39.925896,212643742.7,1
Belize,1986,24,,1385.471231,40.224854,231638320.5,1
Belize,1987,24,,1643.949927,40.255573,281082558.6,1
Belize,1988,24,,1831.019639,40.582672,320093360.3,1
Belize,1989,24,,2065.720309,40.280842,369133890.7,1
Belize,1990,24,,3009.491262,40.442101,549500000,1
Belize,1991,24,,3212.450794,40.711262,599000000,1
Belize,1992,24,,3644.265078,40.932766,693500000,1
Belize,1993,24,,3867.605329,40.801975,751000000,1
Belize,1994,24,,3888.295299,41.217472,771500000,1
Belize,1995,24,,4021.006504,46.007244,818500000,1
Belize,1996,24,,4057.853603,41.88731,851500000,1
